X,Y,FID,GCOMPID,NAME,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIP4,TYPE,STATUS,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,PIPECO,COMPID,OPERATOR,POSREL,NUM_UNITS,CERT_HP,PLANT_COST,EXP_FUEL,EXP_OTHER,GAS_COMPRE,OP_COMP_HR,OP_NUM_COM,OP_DATE_PE,EXP_POWER,ELEC_COMPR
-8768908.466,5020770.948,1,GCOMP1,HELVETIA,.25 MILES EAST OF DELARME RD & KRINER LN,NOT AVAILABLE,LUTHERSBURG,PA,15848,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,CLEARFIELD,42033,USA,41.057123,-78.772445,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",9/24/2015 0:00,IMAGERY/OTHER,3/14/2016 0:00,http://escript.dom.com/,"DOMINION TRANSMISSION, INC.",22,"DOMINION TRANSMISSION, INC.",WITHIN 40 FEET,1,330,372782,17864,62170,7240,3426,1,6/1/2012 0:00,0,0
-8423788.768,5037815.513,2,GCOMP10,NO. 515 BEAR CREEK,0.2 MILES SOUTHEAST OF HWY 115 & BLUEBERRY LANE,NOT AVAILABLE,BEAR CREEK,PA,18602,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,LUZERNE,42079,USA,41.172478,-75.672182,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",8/25/2015 0:00,IMAGERY/OTHER,3/14/2016 0:00,http://www.1line.williams.com/,"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",29,"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",WITHIN 40 FEET,6,32000,30777444,1283985,2013445,426144,8119,6,11/7/2012 0:00,0,0
-9255400.748,4049169.83,3,GCOMP100,NO. 130 COMER,117 WINNS LAKE RD.,NOT AVAILABLE,COMER,GA,30629,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,MADISON,13195,USA,34.15155107,-83.14267953,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",8/25/2015 0:00,IMAGERY/OTHER,3/14/2016 0:00,http://www.1line.williams.com/,"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",29,"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",WITHIN 40 FEET,18,59290,46543043,7468983,4192360,2825079,96736,18,1/26/2013 0:00,11834,-999
-11026448.7,4662308.103,4,GCOMP1000,583 OTIS,COUNTY ROAD 390,S11-T17S-R16W,OTIS,KS,67565,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,RUSH,20165,USA,38.58435805,-99.05227397,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"FERC FORM 2, IMAGERY",9/9/2015 0:00,IMAGERY/OTHER,3/14/2016 0:00,https://csi.sscgp.com/,"SOUTHERN STAR CENTRAL GAS PIPELINE, INC.",43,"SOUTHERN STAR CENTRAL GAS PIPELINE, INC.",WITHIN 40 FEET,1,2400,3933939,380293,153920,146889,8510,1,6/3/2012 0:00,0,0
-12057228.48,5005051.615,5,GCOMP1001,COLORADO - SKULL CREEK DEW POINT PLANT,COUNTY ROAD 4,SW SE SEC 32 T12N R97W,MAYBELL,CO,81640,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,MOFFAT,8081,USA,40.95055734,-108.3119263,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",9/11/2015 0:00,IMAGERY/OTHER,3/14/2016 0:00,http://www.questarpipeline.com/,QUESTAR PIPELINE COMPANY,55,QUESTAR PIPELINE COMPANY,WITHIN 40 FEET,1,100,950473,84436,375595,32497,7002,1,12/23/2012 0:00,0,0
-11374896.19,4455148.031,6,GCOMP1002,FLANK,COUNTY ROAD K & COUNTY ROAD H,NOT AVAILABLE,CAMPO,CO,81029,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,BACA,8009,USA,37.114997,-102.182431,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",10/19/2015 0:00,IMAGERY/OTHER,3/14/2016 0:00,http://ebb.cigco.com/,"COLORADO INTERSTATE GAS COMPANY, L.L.C.",32,"COLORADO INTERSTATE GAS COMPANY, L.L.C.",WITHIN 40 FEET,6,7250,13773635,244467,543787,94172,13753,2,8/12/2012 0:00,0,0
-11465140.12,4849997.652,7,GCOMP1003,NIOBRARA,COUNTY ROAD QQ & HWY 22,NOT AVAILABLE,AKRON,CO,80720,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,WASHINGTON,8121,USA,39.890189,-102.993106,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",10/16/2015 0:00,IMAGERY/OTHER,3/14/2016 0:00,http://ebb.cigco.com/,"COLORADO INTERSTATE GAS COMPANY, L.L.C.",32,"COLORADO INTERSTATE GAS COMPANY, L.L.C.",WITHIN 40 FEET,1,1800,462263,152796,226165,58250,8432,1,12/29/2012 0:00,0,0
-12333103.39,5134518.012,8,GCOMP1004,KEMMERER,CR 300,"SW1/4,S2,SE1/4,S3,T32N,R118W",KEMMERER,WY,83101,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,LINCOLN,56023,USA,41.82310407,-110.7901527,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",9/14/2015 0:00,IMAGERY/OTHER,3/14/2016 0:00,http://www.northwest.williams.com/,NORTHWEST PIPELINE GP,37,NORTHWEST PIPELINE GP,WITHIN 40 FEET,5,11200,20512700,373112,530467,134951,13805,3,1/17/2012 0:00,0,0
-10004740.38,4489164.057,9,GCOMP1005,STATION 309 - MARBLE HILL,CR-324/MO-34,CORNER OF CR-324 AND MO-34,MARBLE HILL,MO,63764,9417,NATURAL GAS COMPRESSOR STATION,IN SERVICE,BOLLINGER,29017,USA,37.358275,-89.874112,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",9/16/2015 0:00,IMAGERY/OTHER,3/14/2016 0:00,http://www.kindermorgan.com/,NATURAL GAS PIPELINE COMPANY OF AMERICA LLC,26,NATURAL GAS PIPELINE COMPANY OF AMERICA LLC,WITHIN 40 FEET,9,29650,13028482,0,0,1187001,48633,8,2/13/2012 0:00,0,0
-11437960.13,3891492.617,10,GCOMP1006,PLAINS,CR-355,CORNER OF CR-355 AND LIGHT PLANT RD,DENVER CITY,TX,79323,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,YOAKUM,48501,USA,32.971281,-102.748944,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",9/15/2015 0:00,IMAGERY/OTHER,3/14/2016 0:00,http://www.northernnaturalgas.com/,NORTHERN NATURAL GAS COMPANY,59,NORTHERN NATURAL GAS COMPANY,WITHIN 40 FEET,1,3546,6871877,331291,195347,118930,3914,1,1/1/2012 0:00,13454,183460
-12019662.59,5009136.984,11,GCOMP1007,SNAKE RIVER,CR-4,SEC 20 29 T12N R94W,CRAIG,CO,81625,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,MOFFAT,8081,USA,40.97826974,-107.9744661,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",8/14/2015 0:00,IMAGERY/OTHER,3/14/2016 0:00,http://ebb.cigco.com/,"WYOMING INTERSTATE COMPANY, L.L.C.",76,"WYOMING INTERSTATE COMPANY, L.L.C.",WITHIN 40 FEET,2,13664,32518994,884854,283223,356072,4659,1,2/17/2012 0:00,0,0
-12019640.96,5009093.538,12,GCOMP1008,R28184002/102 AT BIG HOLE,CR-4/WEST OF CO-192N,NOT AVAILABLE,CRAIG,CO,81625,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,MOFFAT,8081,USA,40.9779751,-107.9742719,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",9/11/2015 0:00,IMAGERY/OTHER,3/14/2016 0:00,http://www.tallgrassenergylp.com/,ROCKIES EXPRESS PIPELINE LLC,575,ROCKIES EXPRESS PIPELINE LLC,WITHIN 40 FEET,2,17683,37403559,0,0,385965,3288,1,12/19/2012 0:00,0,0
-11471580.06,3691404.699,13,GCOMP1009,LONE STAR VALERO PECOS,CR-4290,NOT AVAILABLE,MONAHANS,TX,79756,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,WARD,48475,USA,31.450579,-103.050957,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",8/24/2015 0:00,IMAGERY/OTHER,3/14/2016 0:00,http://twtransfer.energytransfer.com/,"TRANSWESTERN PIPELINE COMPANY, LLC",42,"TRANSWESTERN PIPELINE COMPANY, LLC",WITHIN 40 FEET,2,2200,5006439,246,126093,105,2,1,7/12/2012 0:00,0,0
-10728503.62,4975067.15,14,GCOMP101,PALMYRA,1170 NORTH 10TH ROAD,NOT AVAILABLE,PALMYRA,NE,68418,4031,NATURAL GAS COMPRESSOR STATION,IN SERVICE,OTOE,31131,USA,40.74680679,-96.37578775,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",9/15/2015 0:00,IMAGERY/OTHER,3/14/2016 0:00,http://www.northernnaturalgas.com/,NORTHERN NATURAL GAS COMPANY,59,NORTHERN NATURAL GAS COMPANY,WITHIN 40 FEET,12,31755,30495384,3006871,2371092,1057026,39465,7,11/12/2012 0:00,101678,1342272
-10831073.54,3289489.73,15,GCOMP1010,NO. 20 REFUGIO,CROCKETT RD/W HOUSTON,NOT AVAILABLE,REFUGIO,TX,78377,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,REFUGIO,48391,USA,28.320878,-97.297189,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",8/25/2015 0:00,IMAGERY/OTHER,3/14/2016 0:00,http://www.1line.williams.com/,"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",29,"TRANSCONTINENTAL GAS PIPE LINE COMPANY, LLC",WITHIN 40 FEET,5,8320,4401889,0,0,0,0,0,,0,0
-8729842.426,4826189.11,16,GCOMP1011,ARTEMAS #1,CROOKED RUN RD. & ARTEMAS RD.,NOT AVAILABLE,ARTEMAS,PA,17211,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,BEDFORD,42009,USA,39.72589111,-78.42150879,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",9/30/2015 0:00,IMAGERY/OTHER,3/14/2016 0:00,http://www.columbiapipeinfo.com/,"COLUMBIA GAS TRANSMISSION,LLC",21,"COLUMBIA GAS TRANSMISSION,LLC",WITHIN 40 FEET,2,4000,12011885,251237,648351,83734,6076,2,9/13/2012 0:00,39695,-999
-8729856.687,4826178.955,17,GCOMP1012,ARTEMAS #2,CROOKED RUN RD. & ARTEMAS RD.,NOT AVAILABLE,ARTEMAS,PA,17211,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,BEDFORD,42009,USA,39.72582096,-78.4216369,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",9/29/2015 0:00,IMAGERY/OTHER,3/14/2016 0:00,http://www.columbiapipeinfo.com/,"COLUMBIA GAS TRANSMISSION,LLC",21,"COLUMBIA GAS TRANSMISSION,LLC",WITHIN 40 FEET,3,3670,2618898,0,0,0,0,0,,0,0
